"NEAREST_IN,C,20","RATE,C,20","TIME_LIMIT,C,20","CREDIT_CAR,C,20","TYPE,C,20","MAPID,C,20","LOCATION,C,20","RUSH_HR_RE,C,20","TIME_IN_EF,C,20"
,n/a,no,,Non-Metered Motorcyc,MOTOR001,South East Corner 23,,
,n/a,no,,Non-Metered Motorcyc,MOTOR002,North West Corner 26,,
,n/a,no,,Non-Metered Motorcyc,MOTOR003,North East Corner,,
,n/a,no,,Non-Metered Motorcyc,MOTOR004,South West Corner,,
,n/a,no,,Non-Metered Motorcyc,MOTOR005,North East Corner 16,,
,n/a,no,,Non-Metered Motorcyc,MOTOR006,North East Corner 80,,
,n/a,no,,Non-Metered Motorcyc,MOTOR007,North West Corner 29,,
,n/a,no,,Non-Metered Motorcyc,MOTOR008,South East Corner 30,,
,n/a,no,,Non-Metered Motorcyc,MOTOR009,North West Corner 35,,
,n/a,no,,Non-Metered Motorcyc,MOTOR010,North West Corner,,
,n/a,no,,Non-Metered Motorcyc,MOTOR011,South East Corner,,
,n/a,no,,Non-Metered Motorcyc,MOTOR012,North West Corner 23,,
,n/a,no,,Non-Metered Motorcyc,MOTOR013,South East Corner,,
,n/a,no,,Non-Metered Motorcyc,MOTOR014,North East Corner 17,,
,n/a,no,,Non-Metered Motorcyc,MOTOR015,North West Corner 80,,
,n/a,no,,Non-Metered Motorcyc,MOTOR016,North West Corner 42,,
,n/a,no,,Non-Metered Motorcyc,MOTOR017,North West Corner 44,,
,n/a,no,,Non-Metered Motorcyc,MOTOR018,South East Corner 44,,
,n/a,no,,Non-Metered Motorcyc,MOTOR019,South East Corner,,
,n/a,no,,Non-Metered Motorcyc,MOTOR020,South East Corner 60,,
,n/a,no,,Non-Metered Motorcyc,MOTOR021,South West Corner 20,,
,n/a,no,,Non-Metered Motorcyc,MOTOR022,South West Corner 17,,
,n/a,no,,Non-Metered Motorcyc,MOTOR023,North East Corner 10,,
,n/a,no,,Non-Metered Motorcyc,MOTOR024,North East Corner 20,,
,n/a,no,,Non-Metered Motorcyc,MOTOR025,North East Corner 30,,
,n/a,no,,Non-Metered Motorcyc,MOTOR026,South West Corner 60,,
,n/a,no,,Non-Metered Motorcyc,MOTOR027,South West Corner 80,,
,n/a,no,,Non-Metered Motorcyc,MOTOR028,South West Corner 80,,
,n/a,no,,Non-Metered Motorcyc,MOTOR029,North East Corner,,
,n/a,no,,Non-Metered Motorcyc,MOTOR030,North East Corner,,
,n/a,no,,Non-Metered Motorcyc,MOTOR031,South West Corner,,
,n/a,no,,Non-Metered Motorcyc,MOTOR032,South West Corner 50,,
,n/a,no,,Non-Metered Motorcyc,MOTOR033,South East Corner 41,,
,n/a,no,,Non-Metered Motorcyc,MOTOR034,North West Corner 42,,
